REGION,STORAGE,YEAR,VALUE
GLOBAL,LDSINDWE01,2039.0,0.06984
GLOBAL,LDSINDWE01,2040.0,0.06984
GLOBAL,LDSINDWE01,2041.0,0.06984
GLOBAL,LDSINDWE01,2042.0,0.06984
GLOBAL,LDSINDWE01,2043.0,0.06984
GLOBAL,LDSINDWE01,2044.0,0.06984
GLOBAL,LDSINDWE01,2045.0,0.06984
GLOBAL,LDSINDWE01,2046.0,0.06984
GLOBAL,LDSINDWE01,2047.0,0.06984
GLOBAL,LDSINDWE01,2048.0,0.06984
GLOBAL,LDSINDWE01,2049.0,0.06984
GLOBAL,LDSINDWE01,2050.0,0.06984
GLOBAL,SDSINDNO01,2021.0,9e-05
GLOBAL,SDSINDNO01,2022.0,9e-05
GLOBAL,SDSINDNO01,2023.0,9e-05
GLOBAL,SDSINDNO01,2024.0,9e-05
GLOBAL,SDSINDNO01,2025.0,9e-05
GLOBAL,SDSINDNO01,2026.0,9e-05
GLOBAL,SDSINDNO01,2027.0,9e-05
GLOBAL,SDSINDNO01,2028.0,9e-05
GLOBAL,SDSINDNO01,2029.0,9e-05
GLOBAL,SDSINDNO01,2030.0,0.00156
GLOBAL,SDSINDNO01,2031.0,0.00156
GLOBAL,SDSINDNO01,2032.0,0.00156
GLOBAL,SDSINDNO01,2033.0,0.00156
GLOBAL,SDSINDNO01,2034.0,0.00156
GLOBAL,SDSINDNO01,2035.0,0.00156
GLOBAL,SDSINDNO01,2036.0,0.00156
GLOBAL,SDSINDNO01,2037.0,0.00156
GLOBAL,SDSINDNO01,2038.0,0.00156
GLOBAL,SDSINDNO01,2039.0,0.00156
GLOBAL,SDSINDNO01,2040.0,0.00156
GLOBAL,SDSINDNO01,2041.0,0.00156
GLOBAL,SDSINDNO01,2042.0,0.00153
GLOBAL,SDSINDNO01,2043.0,0.00153
GLOBAL,SDSINDNO01,2044.0,0.00153
GLOBAL,SDSINDNO01,2045.0,0.00153
GLOBAL,SDSINDNO01,2046.0,0.00153
GLOBAL,SDSINDNO01,2047.0,0.00148
GLOBAL,SDSINDNO01,2048.0,0.00148
GLOBAL,SDSINDNO01,2049.0,0.00148
GLOBAL,SDSINDNO01,2050.0,0.00148
GLOBAL,SDSINDSO01,2021.0,0.0
GLOBAL,SDSINDSO01,2022.0,0.0
GLOBAL,SDSINDSO01,2023.0,0.0
GLOBAL,SDSINDSO01,2024.0,0.0
GLOBAL,SDSINDSO01,2025.0,0.0
GLOBAL,SDSINDSO01,2026.0,0.0
GLOBAL,SDSINDSO01,2027.0,0.0
GLOBAL,SDSINDSO01,2028.0,0.0
GLOBAL,SDSINDSO01,2029.0,0.0
GLOBAL,SDSINDSO01,2030.0,0.00144
GLOBAL,SDSINDSO01,2031.0,0.00144
GLOBAL,SDSINDSO01,2032.0,0.00144
GLOBAL,SDSINDSO01,2033.0,0.00144
GLOBAL,SDSINDSO01,2034.0,0.00144
GLOBAL,SDSINDSO01,2035.0,0.00144
GLOBAL,SDSINDSO01,2036.0,0.00144
GLOBAL,SDSINDSO01,2037.0,0.00144
GLOBAL,SDSINDSO01,2038.0,0.00144
GLOBAL,SDSINDSO01,2039.0,0.00144
GLOBAL,SDSINDSO01,2040.0,0.00144
GLOBAL,SDSINDSO01,2041.0,0.00144
GLOBAL,SDSINDSO01,2042.0,0.00144
GLOBAL,SDSINDSO01,2043.0,0.00144
GLOBAL,SDSINDSO01,2044.0,0.00144
GLOBAL,SDSINDSO01,2045.0,0.00144
GLOBAL,SDSINDSO01,2046.0,0.00144
GLOBAL,SDSINDSO01,2047.0,0.00144
GLOBAL,SDSINDSO01,2048.0,0.00144
GLOBAL,SDSINDSO01,2049.0,0.00144
GLOBAL,SDSINDSO01,2050.0,0.00144
GLOBAL,SDSINDWE01,2021.0,0.02879999997696
GLOBAL,SDSINDWE01,2022.0,0.02879999997696
GLOBAL,SDSINDWE01,2023.0,0.02879999997696
GLOBAL,SDSINDWE01,2024.0,0.02879999997696
GLOBAL,SDSINDWE01,2025.0,0.02879999997696
GLOBAL,SDSINDWE01,2026.0,0.02879999997696
GLOBAL,SDSINDWE01,2027.0,0.02879999997696
GLOBAL,SDSINDWE01,2028.0,0.02879999997696
GLOBAL,SDSINDWE01,2029.0,0.02879999997696
GLOBAL,SDSINDWE01,2030.0,0.0296099999769599
GLOBAL,SDSINDWE01,2031.0,0.0296099999769599
GLOBAL,SDSINDWE01,2032.0,0.0296099999769599
GLOBAL,SDSINDWE01,2033.0,0.0296099999769599
GLOBAL,SDSINDWE01,2034.0,0.0296099999769599
GLOBAL,SDSINDWE01,2035.0,0.0296099999769599
GLOBAL,SDSINDWE01,2036.0,0.0296099999769599
GLOBAL,SDSINDWE01,2037.0,0.0296099999769599
GLOBAL,SDSINDWE01,2038.0,0.0296099999769599
GLOBAL,SDSINDWE01,2039.0,0.0296099999769599
GLOBAL,SDSINDWE01,2040.0,0.0296099999769599
GLOBAL,SDSINDWE01,2041.0,0.00081
GLOBAL,SDSINDWE01,2042.0,0.00081
GLOBAL,SDSINDWE01,2043.0,0.00081
GLOBAL,SDSINDWE01,2044.0,0.00081
GLOBAL,SDSINDWE01,2045.0,0.00081
GLOBAL,SDSINDWE01,2046.0,0.00081
GLOBAL,SDSINDWE01,2047.0,0.00081
GLOBAL,SDSINDWE01,2048.0,0.00081
GLOBAL,SDSINDWE01,2049.0,0.00081
GLOBAL,SDSINDWE01,2050.0,0.00081
